Year,US,Northeast,Midwest,South,West,Median,Mean
1963,560,87,134,199,141,18000,19300
1964,565,90,146,200,129,18900,20500
1965,575,94,142,210,129,20000,21500
1966,461,84,113,166,99,21400,23300
1967,487,77,112,179,119,22700,24600
1968,490,73,119,177,121,24700,26600
1969,448,62,97,175,114,25600,27900
1970,485,61,100,203,121,23400,26600
1971,656,82,127,270,176,25200,28300
1972,718,96,130,305,187,27600,30500
1973,634,95,120,257,161,32500,35500
1974,519,69,103,207,139,35900,38900
1975,549,71,106,222,150,39300,42600
1976,646,72,128,247,199,44200,48000
1977,819,86,162,317,255,48800,54200
1978,817,78,145,331,262,55700,62500
1979,709,67,112,304,225,62900,71800
1980,545,50,81,267,145,64600,76400
1981,436,46,60,219,112,68900,83000
1982,412,47,48,219,99,69300,83900
1983,623,76,71,323,152,75300,89800
1984,639,94,76,309,160,79900,97600
1985,688,112,82,323,171,84300,100800
1986,750,136,96,322,196,92000,111900
1987,671,117,97,271,186,104500,127200
1988,676,101,97,276,202,112500,138300
1989,650,86,102,260,202,120000,148800
1990,534,71,89,225,149,122900,149800
1991,509,57,93,215,144,120000,147200
1992,610,65,116,259,170,121500,144100
1993,666,60,123,295,188,126500,147700
1994,670,61,123,295,191,130000,154500
1995,667,55,125,300,187,133900,158700
1996,757,74,137,337,209,140000,166400
1997,804,78,140,363,223,146000,176200
1998,886,81,164,398,243,152500,181900
1999,880,76,168,395,242,161000,195600
2000,877,71,155,406,244,169000,207000
2001,908,66,164,439,239,175200,213200
2002,973,65,185,450,273,187600,228700
2003,"1,086",79,189,511,307,195000,246300
2004,"1,203",83,210,562,348,221000,274500
2005,"1,283",81,205,638,358,240900,297000
2006,"1,051",63,161,559,267,246500,305900
2007,776,65,118,411,181,247900,313600
2008,485,35,70,266,114,232100,292600
2009,375,31,54,202,87,216700,270900
2010,323,31,45,173,74,221800,272900
2011,306,21,45,168,72,227200,267900
2012,368,29,47,195,97,245200,292200
2013,429,31,61,233,105,268900,324500
2014,437,28,59,243,108,288500,347700
2015,501,24,61,286,130,294200,352700
2016,561,32,69,318,142,307800,360900
2017,613,40,72,339,163,323100,384900
2018,617,32,76,348,160,326400,385000
